cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
run over by a truck,"violent accidental death (transport, blown in minefield...)",2000,2,"2 found dead young hidden in a truck directly in Spain just landed in the port of Almeria (Apr 15, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"stowaway, died when lorry hit a bridge near Cheb (CZ) (Apr 9, 2000)"
suicide - put on fire,suicide,2000,1,"suicide, rejected asylum seeker set himself on fire in refugee home Rüsselsheim (D) (Apr 5, 2000)"
frozen,"violent accidental death (transport, blown in minefield...)",2000,2,"stowaways, found dead in undercarriage of airplane at Stockholm (S) airport (Apr 5, 2000)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2000,1,"died in a refugee centre in Györ (H) under suspicious circumstances (Mar 22, 2000)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2000,1,"died after fire caused by rebellion in detention centre Seraino Vulpitta di Trappani (I) (Mar 13, 2000)"
shot by the police,authorities related death,2000,1,"shot dead on beach of Tarifa, Cadiz (E) by police while disembarking small boat (Mar 11, 2000)"
suicide - hanged,suicide,2000,1,"suicide, hanged himself in his house in Salzwedel (D) for fear of deportation (Mar 11, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"died after hit his head when forced out of the boat by smugglers near Otranto (I) (Feb 29, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"died in Mannheim prison (D) because of lack of medical treatment (Feb 29, 2000)"
suicide - other,suicide,2000,1,"suicide, because of bad living conditions in asylum centre near Allbruck (D) (Feb 14, 2000)"
fall,"violent accidental death (transport, blown in minefield...)",2000,1,"died after jumping out of fast driving train in Germany in fear of deportation (Feb 9, 2000)"
police violence,authorities related death,2000,1,"died in a detention centre in Wien (A) after being beaten by police (Feb 4, 2000)"
asphyxiated,drowning or exhaustion related death,2000,2,"stowaways, found suffocated in the hull of a ship in Brindisi (I) (Dec 31, 2000)"
suicide - hanged,suicide,2000,1,"suicide, hang himself from a bed sheet in deportation custody in Schaffhausen (CH) (Dec 31, 2000)"
suicide - under train,suicide,2000,1,"suicide, jumped in front of train in Den Bosch (NL) (Dec 31, 2000)"
hypothermia,drowning or exhaustion related death,2000,1,"froze to death at Belles mountain (GR/BG) trying to reach Greece illegally (Dec 30, 2000). From Del Grande's data set (translated): Trying to enter illegally in Greece, a girl dies frozen to death on foot through the passes of the mountains Belles, the Bulgarian border (Dec 31, 2000)"
hypothermia,drowning or exhaustion related death,2000,1,"died of hypothermia in the mountains near Ceuta (E/MA) on his way to Spain (Dec 26, 2000). From Del Grande's data set (translated): He died of hypothermia a migrant camped in the mountains of Bel Younesh, waiting to jump the border fence in Ceuta (Dec 27, 2000)"
frozen,"violent accidental death (transport, blown in minefield...)",2000,1,"stowaway, fell out of undercarriage of British Airways plane near Gatwick airport (GB) (Dec 24, 2000). From Del Grande's data set (translated): Tucked away in the undercarriage of a plane at Gatwick dies frozen to death. The body rushes to the opening of the truck during the landing and was found in a field in Rudgwick (Dec 24, 2000)"
frozen,"violent accidental death (transport, blown in minefield...)",2000,1,"stowaway, fell out of undercarriage of British Airways plane near Gatwick airport (GB) (Dec 23, 2000). From Del Grande's data set (translated): Tucked away in the undercarriage of a plane at Gatwick dies frozen to death. The body rushes to the opening of the truck during the landing and was found in a field in Rudgwick (Dec 24, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,2,"burned alive in car crash near Thessaloniki (GR) trying to enter Greece illegally (Dec 20, 2000). From Del Grande's data set (translated): Two men dead in the charred closed hood of a car in which they were hidden and who has had a car accident on fire, near Thessaloniki along the Macedonian border (Dec 21, 2000)"
suicide - hanged,suicide,2000,1,"suicide, found hanged in Nelson, Lancashire (GB) after his asylum claim was refused (Dec 20, 2000)"
shot by the police,authorities related death,2000,1,"Six men traveling without a visa in a car, near the Croatian border the driver escapes a roadblock, police car chases, shoots and kills the man at the helm (Dec 19, 2000)"
suicide - hanged,suicide,2000,1,"suicide, hanged himself after having received deportation order (NL) (Dec 18, 2000)"
heart failure,drowning or exhaustion related death,2000,1,"died of heart failure during deportation from Budapest International Airport (H) (Dec 17, 2000)"
suicide - jumped from train,suicide,2000,1,"suicide, jumped out of train window near railway station Thyrow (D) (Dec 14, 2000)"
asphyxiated,drowning or exhaustion related death,2000,1,"Man dies asphyxiated traveling for hours hidden in the trunk of a car to enter illegally in Sweden (Dec 15, 2000)"
starved,drowning or exhaustion related death,2000,1,"Direct in Germany, a man dying of starvation through the desert on the border between Kazakhstan and Russia (Dec 15, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"died of pneumonia in Kärnten (A), dispute of responsibility within government (Nov 27, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"stowaway, died after he was run over by the lorry he was hiding in in Dover (GB) (Nov 16, 2000). From Del Grande's data set (translated): It falls under the truck which was traveling hidden and died under the wheels of the vehicle, in Dover (Nov 17, 2000)"
suicide - other,suicide,2000,1,"suicide, for fear of deportation in Kriftelk (D), authorities denied his psychotic condition (Nov 11, 2000)"
burned,"violent accidental death (transport, blown in minefield...)",2000,2,"burned in fire in refugee centre in Hamburg (D) (Oct 28, 2000)"
asphyxiated,drowning or exhaustion related death,2000,1,"kurdish stowaway, found suffocated in container of Greek ship (Oct 25, 2000). From Del Grande's data set (translated): He died suffocated a man hiding in a container on board a Greek ship (Oct 26, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,3,"died in van accident near Thessalonoki (GR) (Oct 21, 2000)"
asphyxiated,drowning or exhaustion related death,2000,5,"kurds, found dead at edge of motorway, Foggia (I) reportedly suffocated in van (Oct 17, 2000). From Del Grande's data set (translated): Foggia: asphyxiated on the truck where they were hidden and thrown in the street, 6 dead (Oct 19, 2000)"
asphyxiated,drowning or exhaustion related death,2000,1,"kurd, found dead at edge of motorway near Foggia (I) reportedly suffocated in van (Oct 17, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"died in isolation cell of detention centre Steenokerzeel (B) after trying to escape (Oct 12, 2000)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2000,1,"died after fire caused by rebellion in the detention centre Vulpitta in Trapani (I) (Oct 2, 2000)"
suicide - jumped from building,suicide,2000,1,"suicide, jumped out of 8th floor window in Frankfurt a. M. (D) in fear of deportation (Jan 29, 2000)"
suicide - hanged,suicide,2000,1,"hanged himself in refugee home in Singen (D) because of disgraceful treatment/lodging (Jan 24, 2000)"
suicide - other,suicide,2000,1,"suicide, hanged himself in Harmondsworth detention centre (GB) in fear of deportation (Jan 23, 2000)"
suicide - other,suicide,2000,1,"suicide through intoxication in JVA Landshut (D) (Jan 17, 2000)"
hypothermia,drowning or exhaustion related death,2000,2,"froze to death in the Belles mountains (BG/GR) trying to enter Greece (Jan 13, 2000). From Del Grande's data set (translated): 20 young women crossing the border on foot along the Bulgarian mountain Belles, but can not find who had to wait for them, in three days of waiting froze to death two women (Jan 17, 2000)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2000,1,"died after fire caused by rebellion in detention centre Seraino Vulpitta di Trappani (I) (Jan 12, 2000)"
exhaustion,drowning or exhaustion related death,2000,1,"died of exhaustion in desert crossing the Russian-Kazakh border on way to Germany (Jan 11, 2000)"
lack of medical care,drowning or exhaustion related death,2000,1,"no medical care, seriously ill in border prison Amsterdam South-East (NL) (Jan 11, 2000)"
suicide - hanged,suicide,2000,1,"asylum seeker, committed suicide in Stockholm (S) in desperation (Jan 11, 2000)"
asphyxiated,drowning or exhaustion related death,2000,1,"stowaway, died by asphyxiation trying to enter Sweden illegally in boot of car (Jan 11, 2000)"
shot by the police,authorities related death,2000,1,"fatally injured by border guard in Messopotamia area of Kastoria (GR-AL border) (Jan 10, 2000)"
shot by the police,authorities related death,2000,1,"leader of a group of refugees in border town Florina shot dead by Greek police (Jan 10, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"died after car accident, trying to escape border guards near Reitzenhain (CZ-D) (Jan 10, 2000)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2000,2,"killed in minefield on Greek-Turkish border trying to cross illegally (Jan 8, 2000). From Del Grande's data set (translated): An explosion in a minefield along the border turkish near Kipoi ago 1 dead. Death on the mines of the north-eastern border 7 people in 1999 (Aug 29, 2000)"
asphyxiated,drowning or exhaustion related death,2000,2,"stowaways found dead on Maltese freighter, reportedly suffocated or poisoned (Jan 5, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"Landing in Lecce, who died a young man who had slammed his head violently against the hull during the trip (Jan 6, 2000)"
car accident,"violent accidental death (transport, blown in minefield...)",2000,1,"found dead in Cadiz (E) reportedly hit by van in which he travelled to Spain (Jan 4, 2000)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2000,1,"died in minefield in Nea Vissa region (GR) near Turkish border (Jan 4, 2000)"
crushed,"violent accidental death (transport, blown in minefield...)",2000,1,"Landing in Vieste (Foggia), 1 young man bangs his head on the way down from the hull and dies (Jan 4, 2000)"
suicide - other,suicide,2000,1,"suicide in Liverpool (GB), after her asylum claim was rejected, mother of 3 children (Jan 3, 2000)"
burned,"violent accidental death (transport, blown in minefield...)",2000,2,"homeless migrant, died in fire in empty carriage he slept in at Napels (I) train station (Jan 2, 2000)"
burned,"violent accidental death (transport, blown in minefield...)",2000,5,"died in fire in factory (undocumented workers' home) in Legnano (I) (Jan 2, 2000)"
suicide - other,suicide,2000,1,"Kurd, suicide in Weil im Schönbuch (D) for fear of deportation (Jan 2, 2000)"
